year,in_area_short,in_cnt
2024,11620,62
2024,11650,16
2024,11680,25
2024,11710,11
2024,11740,16
2024,26110,6
2024,26140,12
2024,26170,14
2024,26200,8
2024,26230,42
2024,26260,20
2024,26290,37
2024,26320,15
2024,26350,41
2024,26380,24
2024,26410,24
2024,26440,10
2024,26470,21
2024,26500,17
2024,26530,18
2024,26710,18
2024,27110,142
2024,27140,722
2024,27170,98
2024,27200,133
2024,27230,371
2024,27260,524
2024,27290,376
2024,27710,162
2024,27720,25
2024,28110,11
2024,28140,1
2024,28177,14
2024,28185,14
2024,28200,14
2024,28237,20
2024,28245,4
2024,28260,12
2024,28710,4
2024,29110,2
2024,29140,6
2024,29155,3
2024,29170,14
2024,29200,12
2024,30110,22
2024,30140,10
2024,30170,29
2024,30200,44
2024,30230,5
2024,31110,34
2024,31140,81
2024,31170,38
2024,31200,70
2024,31710,60
2024,36110,31
2024,41111,8
2024,41113,14
2024,41115,6
2024,41117,17
2024,41131,11
2024,41133,4
2024,41135,18
2024,41150,20
2024,41171,7
2024,41173,15
2024,41192,14
2024,41194,9
2024,41196,4
2024,41210,7
2024,41220,43
2024,41250,2
2024,41271,9
2024,41273,6
2024,41281,14
2024,41285,11
2024,41287,8
2024,41310,9
2024,41360,19
2024,41370,12
2024,41390,13
2024,41410,7
2024,41430,1
2024,41450,10
2024,41461,21
2024,41463,15
2024,41465,15
2024,41480,29
2024,41500,15
2024,41550,8
2024,41570,14
2024,41590,46
2024,41610,16
2024,41630,15
2024,41650,13
2024,41670,8
2024,41800,6
2024,41820,3
2024,41830,5
2024,43111,10
2024,43112,13
2024,43113,17
2024,43114,7
2024,43130,13
2024,43150,12
2024,43720,1
2024,43730,3
2024,43740,6
2024,43745,3
2024,43750,11
2024,43760,1
2024,43770,10
2024,43800,1
2024,44131,10
2024,44133,27
2024,44150,11
2024,44180,2
2024,44200,13
2024,44210,10
2024,44230,3
2024,44250,8
2024,44270,4
2024,44710,1
2024,44760,1
2024,44770,1
2024,44800,5
2024,44825,2
2024,46110,2
2024,46130,10
2024,46150,7
2024,46170,1
2024,46230,3
2024,46710,1
2024,46730,2
2024,46780,1
2024,46790,2
2024,46820,3
2024,46840,1
2024,46860,1
2024,46870,4
2024,46880,10
2024,46890,1
2024,46900,1
2024,47111,137
2024,47113,166
2024,47130,252
2024,47150,41
2024,47170,70
